DriverNumber,Team,FastestFPLap,MeanFPLaps,StdFPLaps,GP,FastestLapRace,Year,FasterThanTeammate
1,Red Bull Racing,91.936,106.11097777777779,15.462733785156402,Bahrain Grand Prix,94.57,2022,1.0
3,McLaren,94.166,108.83333333333333,15.15362330856148,Bahrain Grand Prix,94.57,2022,0.0
4,McLaren,93.28,107.09798214285716,13.357913281340911,Bahrain Grand Prix,94.57,2022,1.0
6,Williams,94.486,111.44979545454545,17.461282784517532,Bahrain Grand Prix,94.57,2022,1.0
10,AlphaTauri,93.621,108.53460000000004,15.351495368796549,Bahrain Grand Prix,94.57,2022,1.0
11,Red Bull Racing,92.791,109.21270588235292,17.010430772627643,Bahrain Grand Prix,94.57,2022,0.0
14,Alpine,92.877,106.28730232558142,13.073043277542771,Bahrain Grand Prix,94.57,2022,1.0
16,Ferrari,92.023,110.585,16.312889697385614,Bahrain Grand Prix,94.57,2022,1.0
18,Aston Martin,93.92,112.46088235294116,17.319097748141747,Bahrain Grand Prix,94.57,2022,1.0
20,Haas F1 Team,93.183,111.29708695652178,19.075401087385096,Bahrain Grand Prix,94.57,2022,0.0
22,AlphaTauri,93.789,109.6401842105263,16.004485612765702,Bahrain Grand Prix,94.57,2022,0.0
23,Williams,94.735,112.25332499999999,15.905744258580766,Bahrain Grand Prix,94.57,2022,0.0
24,Alfa Romeo,93.88,112.47194444444446,17.215031838501414,Bahrain Grand Prix,94.57,2022,0.0
27,Aston Martin,93.971,109.68506779661018,15.050976466846697,Bahrain Grand Prix,94.57,2022,0.0
31,Alpine,93.36,109.70564444444446,16.229002387571533,Bahrain Grand Prix,94.57,2022,0.0
44,Mercedes,93.121,110.97709756097561,18.107172152391314,Bahrain Grand Prix,94.57,2022,0.0
47,Haas F1 Team,93.085,108.67247169811318,16.962236944864532,Bahrain Grand Prix,94.57,2022,1.0
55,Ferrari,92.52,109.9851,16.890033871191616,Bahrain Grand Prix,94.57,2022,0.0
63,Mercedes,92.529,107.50767346938778,14.40813383147251,Bahrain Grand Prix,94.57,2022,1.0
77,Alfa Romeo,92.951,109.90595121951222,17.060974062134907,Bahrain Grand Prix,94.57,2022,1.0
1,Red Bull Racing,89.768,109.05522222222226,18.276269861202696,Saudi Arabian Grand Prix,91.634,2022,1.0
3,McLaren,91.186,108.29366,18.05406613105203,Saudi Arabian Grand Prix,91.634,2022,0.0
4,McLaren,90.735,108.24981481481483,17.760577465038473,Saudi Arabian Grand Prix,91.634,2022,1.0
6,Williams,91.814,108.14653846153844,18.45598478132556,Saudi Arabian Grand Prix,91.634,2022,0.0
10,AlphaTauri,90.148,107.20746428571428,17.284815047116073,Saudi Arabian Grand Prix,91.634,2022,1.0
11,Red Bull Racing,89.833,107.45555102040817,17.58510842992715,Saudi Arabian Grand Prix,91.634,2022,0.0
14,Alpine,90.296,105.93083333333333,14.384016523944592,Saudi Arabian Grand Prix,91.634,2022,0.0
