DriverNumber,Team,FastestFPLap,MeanFPLaps,StdFPLaps,GP,FastestLapRace,Year,FasterThanTeammateRace,FasterThanTeammateFP
1,Red Bull Racing,90.851,91.1182,0.1523593121538686,Bahrain Grand Prix,92.608,2024,1.0,1.0
2,Williams,91.715,92.43322222222223,0.5017511064656499,Bahrain Grand Prix,92.608,2024,0.0,0.0
3,RB,91.449,92.33728571428571,0.6742057155933746,Bahrain Grand Prix,92.608,2024,1.0,1.0
4,McLaren,91.118,92.48316666666665,0.6219767993172184,Bahrain Grand Prix,92.608,2024,1.0,0.0
10,Alpine,91.951,92.665375,0.49211099802280567,Bahrain Grand Prix,92.608,2024,0.0,1.0
11,Red Bull Racing,91.115,91.34320000000001,0.17078571368823814,Bahrain Grand Prix,92.608,2024,0.0,0.0
14,Aston Martin,90.66,91.46016666666667,0.6545780871845772,Bahrain Grand Prix,92.608,2024,1.0,1.0
16,Ferrari,91.094,91.711,0.6308262439055633,Bahrain Grand Prix,92.608,2024,0.0,0.0
18,Aston Martin,90.891,91.81175,0.49837755517278054,Bahrain Grand Prix,92.608,2024,0.0,0.0
20,Haas F1 Team,91.671,92.24657142857143,0.5183418224472714,Bahrain Grand Prix,92.608,2024,1.0,0.0
22,RB,91.631,92.54444444444444,0.6325530475973462,Bahrain Grand Prix,92.608,2024,0.0,0.0
23,Williams,91.333,91.99685714285715,0.37206390717242255,Bahrain Grand Prix,92.608,2024,1.0,1.0
24,Kick Sauber,92.0,92.77599999999998,0.725494314243743,Bahrain Grand Prix,92.608,2024,1.0,1.0
27,Haas F1 Team,90.884,91.59375,0.5318319165864318,Bahrain Grand Prix,92.608,2024,0.0,1.0
31,Alpine,92.027,92.68442857142857,0.4680628337376625,Bahrain Grand Prix,92.608,2024,1.0,0.0
44,Mercedes,90.374,91.19120000000001,0.5637791766285789,Bahrain Grand Prix,92.608,2024,0.0,1.0
55,Ferrari,90.769,91.64266666666667,0.7083039993926016,Bahrain Grand Prix,92.608,2024,1.0,1.0
63,Mercedes,90.58,91.35300000000001,0.515302338438319,Bahrain Grand Prix,92.608,2024,1.0,0.0
